firm_id,fiscal_year,label,current_ratio,quick_ratio,cash_ratio,debt_to_assets,debt_to_equity,st_debt_to_assets,roa,roe,ebit_to_assets,gross_margin,operating_margin,asset_turnover,inventory_turnover,days_inventory,dso,accruals_to_assets,cfo_to_assets,sales_growth,ebitda_growth,margin_cov,import_dependency,days_inventory_key_apis,fx_exposure,govt_sales_share,insurance_receivables_delay,log_assets,working_capital,retained_earnings,ebit,sales,total_assets,total_liabilities,equity_book,mve
F000,1392,1,1.1048486306891627,0.8687188997874055,0.26911693047648805,0.4579200036504404,0.9657291163680507,0.1734663896035614,-0.02142921039950406,-0.04314677418042993,-0.02142921039950406,0.5048439533065464,0.2831094028951704,1.273142635639256,3.061330411455193,149.68076583789178,80.2704244638593,0.06747364693278804,0.09681682069805135,0.1990732028150799,-0.053583386840239146,0.10426829834334712,0.4141316154394778,161.4390562857128,0.40559983247218057,0.4523904495417951,78.86973726197265,13.138245104140314,279837.3843056443,415834.5972293845,-61647.6259288709,3373734.528584059,2876803.4276380814,1213465.0387205433,1663338.388917538,1197838.3195256165
F001,1392,1,1.0897634938010978,0.6547736450995207,0.18088773333740157,0.6128941887351156,1.012567345929888,0.18686435315748579,0.050382977107500865,0.06417034743485518,0.050382977107500865,0.39875342221585686,0.23114093050765322,0.8978247812690263,2.9768605465276154,156.62347870812178,98.24759583626356,0.045471081102140716,0.04115519546792332,-0.12024236003920187,0.11676414696279586,0.12656335062170168,0.6346568914811361,160.33026923116626,0.6101555867935491,0.44996140083823993,107.38516535382404,14.466268032223494,313559.58313490736,453123.17218816275,175328.72373225438,3831579.8076756806,3479919.8816330363,1667427.192880385,1812492.6887526512,1776668.6040898003
F002,1392,0,1.0886190928678163,0.6903046463142737,0.22646523863962686,0.5168595506130951,0.8918295681450079,0.2716256853476075,0.056503632172964204,0.10848998671759924,0.056503632172964204,0.34818673427954505,0.1696428455351997,0.9580235086407465,2.201761533631283,121.34994815826394,111.97983939258926,0.09092722940215918,0.058394614129682186,-0.018886898384692152,0.206095248814794,0.07266911785221204,0.49943814636307826,129.42303002037124,0.36859912840653714,0.33738240561933,132.8509729884711,14.164441230229825,489077.07413630845,687650.7661225914,328289.9250001418,6052784.269963185,5810067.643000508,3059464.578510142,2750603.064490366,2402004.8215107983
F003,1392,1,1.0330043390949355,0.7776491432166447,0.13588689395527426,0.5288663705500182,1.493482617475196,0.39227076627812646,0.035791952107429706,0.03810908569510833,0.035791952107429706,0.4361047964623428,0.18662475879282467,1.196002718908537,2.4874338544697308,187.55593623348392,129.92537814135758,0.07207205277053744,0.020688935813854413,-0.06285552625331772,0.026627287870735004,0.08068142893196416,0.5253182452593674,179.70554369988656,0.5834345008401978,0.23733068414792832,134.15033839341294,13.79927811443142,136245.93063316544,192000.57917945288,57618.80227038301,1684424.434679166,1609825.641737559,841823.3250197476,768002.3167178115,944294.9020929527
F004,1392,1,1.0230322566168502,0.9829392239823869,0.25152883442886187,0.5622577757358432,1.0794581863300183,0.30541199784476813,0.030210954221862943,0.03672170192976142,0.030210954221862943,0.43895048550000254,0.19377904168799256,1.1335826367274286,2.6922314957901605,154.75054526473872,109.50070076948253,0.0713326412804022,0.004791483245021509,0.20445444514561384,0.016033121852228924,0.1789083613520917,0.710752056600279,156.18362258981745,0.8369101617271462,0.251452479003752,95.38181200877025,12.123131344126106,172369.62145242063,246570.78982620727,59315.2528397942,2116370.0268387417,1963369.0615726786,977085.9022678494,986283.1593048292,1002847.0250737955
F005,1392,1,1.1422718141407797,0.857005972082639,0.1735054443508507,0.5529848885941299,1.0729256427231397,0.2708253459803829,0.0170682896551691,0.10070999211629526,0.0170682896551691,0.3948550124331112,0.14968658546683283,1.1644060437674264,2.7258164336651824,112.57812598600245,118.48400512599179,0.03735493363947755,0.04715814437074811,0.06684151920218807,0.14251040742332968,0.05736456959341645,0.6961496509222953,125.28852090632132,0.5631016136233535,0.37034707767996766,114.31054472914205,15.360089552018918,158185.600832503,232677.4095653906,28570.197717914773,1916631.1767234914,1673875.8419923077,743166.2037307452,930709.6382615624,923284.3243534854
F006,1392,0,1.1037338402078778,0.8284933832525351,0.22273750825604383,0.4899014574030882,1.5644203961863525,-0.08582150788905316,0.07793835919430489,0.11235320570540931,0.07793835919430489,0.38725663982001374,0.18179110976466317,1.129207783190323,2.6011279026738796,124.55652831241906,95.79403776478051,0.05430994803198616,0.040002467985923905,0.07786835167270545,0.09795416155732298,0.0812372445108405,0.5216838509006059,130.3534261038624,0.7009208926080133,0.36420791416557113,104.75462089887999,14.369619586304173,209528.1134440181,307350.7960127485,174122.7599102553,2542102.8579413313,2234108.617505753,1004705.433454759,1229403.184050994,1229851.320564106
F007,1392,1,1.14452802933849,0.7153727561968257,0.22772969922956007,0.42844514426875135,1.2548751263478184,0.3384797331851346,0.010227713678596984,0.04481331304390105,0.010227713678596984,0.3781896773353528,0.20753108381215005,1.0775791956027945,3.088130058542666,145.22159395635754,67.64077292268156,0.05422159471455353,0.010570347710213455,0.05459981212469473,0.03254038064197312,0.18126868008098374,0.48178815899380667,144.09334264777004,0.5779719546487909,0.42724128552759133,71.46553607282429,12.544581202733943,157825.12726805412,229092.38846904231,17705.781415285914,1924482.736948805,1731157.321341318,814787.7674651487,916369.5538761694,1009314.276362843
F008,1392,1,1.1616244026541156,0.7547134571679327,0.20431935791874636,0.638371412435288,1.5185749460613165,0.26650881116512287,0.05777257966739035,0.07878155951680842,0.05777257966739035,0.31185298358913455,0.12495826670705588,1.2034480277902746,2.5426089853858365,139.55324838270604,97.73361566747502,0.037326837085948514,0.1250198746950537,-0.01696185998697583,0.16646252869680073,0.09107633174796137,0.4030575643567845,125.35111839322093,0.4354376702977561,0.3308399570462005,82.55253591483843,13.538812586863278,236137.41455958108,335401.2073034419,158150.84441425913,2908868.6328586917,2737472.4363144054,1395867.6071006379,1341604.8292137675,1250035.180833587
F009,1392,1,1.1241528143496267,0.5968695940839784,0.20200730481936072,0.6284650439517141,0.9638842083074636,0.18679466867304434,0.03140257953208277,0.053464745403756425,0.03140257953208277,0.4151351019095731,0.20846137969516595,1.1247312544764316,2.595786085239224,148.5032455980977,129.68443750748688,0.09284765505750295,0.006823525355032941,0.03117440791119383,-0.03401115389211153,0.19305456789374792,0.6289075365749025,136.89795879724392,0.7410144813510793,0.47534973728825164,128.26125939924898,12.564278617012638,380298.08485324244,542516.0288055454,136965.57938019128,4675301.412136181,4361602.818018788,2191538.702796606,2170064.1152221817,2390968.96679247
F010,1392,1,0.9312140881043246,0.7905426665736733,0.17172010522217657,0.6195101432884473,1.1574187462503471,0.11797493859848174,0.05005068717022781,0.14348701001221825,0.05005068717022781,0.3554156619349311,0.18258474166621264,1.0964632111331383,2.728720029796704,145.38368521614777,94.78914074296434,0.06217308444431826,0.0002847004338233511,0.10412312971976728,0.1740098703536435,0.08091973044278414,0.3825332214140187,129.69112394220315,0.4532720858719509,0.5453413406161727,75.83738481217115,14.087730463866576,291468.2916496029,422215.9225479174,160883.59026110085,3557565.559501182,3214413.2150257668,1525549.5248340971,1688863.6901916696,1719221.2794602972
